Area,Percentage,xval,yval
blr_3-54.tif,0,3,54
blr_3-55.tif,0,3,55
blr_3-56.tif,0,3,56
blr_3-57.tif,0,3,57
blr_3-58.tif,0,3,58
blr_3-59.tif,0,3,59
blr_3-60.tif,0,3,60
blr_3-61.tif,0,3,61
blr_3-62.tif,0,3,62
blr_3-63.tif,0,3,63
blr_3-64.tif,0,3,64
blr_3-65.tif,0,3,65
blr_3-66.tif,0,3,66
blr_3-67.tif,0,3,67
blr_3-68.tif,0,3,68
blr_3-69.tif,0,3,69
blr_3-7.tif,0,3,7
blr_3-70.tif,0,3,70
blr_3-71.tif,0,3,71
blr_3-72.tif,0,3,72
blr_3-8.tif,0,3,8
blr_3-9.tif,0,3,9
blr_30-1.tif,0,30,1
blr_30-10.tif,0,30,10
blr_4-12.tif,0,4,12
blr_4-13.tif,0,4,13
blr_4-14.tif,0,4,14
blr_4-15.tif,0,4,15
blr_4-16.tif,0,4,16
blr_4-17.tif,0,4,17
blr_4-18.tif,0,4,18
blr_4-19.tif,0,4,19
blr_4-2.tif,0,4,2
blr_4-20.tif,0,4,20
blr_4-21.tif,0,4,21
blr_4-22.tif,0,4,22
blr_4-23.tif,0,4,23
blr_4-24.tif,0,4,24
blr_4-25.tif,0,4,25
blr_4-26.tif,0,4,26
blr_4-27.tif,0,4,27
blr_4-29.tif,0,4,29
blr_4-3.tif,0,4,3
blr_4-30.tif,0,4,30
blr_4-31.tif,0,4,31
blr_4-32.tif,0,4,32
blr_4-33.tif,0,4,33
blr_4-34.tif,0,4,34
blr_4-35.tif,0,4,35
blr_4-36.tif,0,4,36
blr_4-37.tif,0,4,37
blr_4-38.tif,0,4,38
blr_4-39.tif,0,4,39
blr_4-4.tif,0,4,4
blr_4-40.tif,0,4,40
blr_4-41.tif,0,4,41
blr_4-42.tif,0,4,42
blr_4-43.tif,0,4,43
blr_4-45.tif,0,4,45
blr_4-46.tif,0,4,46
blr_4-47.tif,0,4,47
blr_4-48.tif,0,4,48
blr_4-49.tif,0,4,49
blr_4-5.tif,0,4,5
blr_4-50.tif,0,4,50
blr_4-51.tif,0,4,51
blr_4-52.tif,0,4,52
blr_4-53.tif,0,4,53
blr_4-54.tif,0,4,54
blr_4-55.tif,0,4,55
blr_4-56.tif,0,4,56
blr_4-57.tif,0,4,57
blr_4-58.tif,0,4,58
blr_4-59.tif,0,4,59
blr_4-6.tif,0,4,6
blr_4-61.tif,0,4,61
blr_4-62.tif,0,4,62
blr_4-63.tif,0,4,63
blr_4-64.tif,0,4,64
blr_4-65.tif,0,4,65
blr_4-66.tif,0,4,66
blr_4-67.tif,0,4,67
blr_4-68.tif,0,4,68
blr_4-69.tif,0,4,69
blr_4-7.tif,0,4,7
blr_4-70.tif,0,4,70
blr_4-71.tif,0,4,71
blr_4-72.tif,0,4,72
blr_4-8.tif,0,4,8
blr_4-9.tif,0,4,9
blr_40-1.tif,0,40,1
blr_40-10.tif,0,40,10
blr_40-11.tif,0,40,11
blr_5-13.tif,0,5,13
blr_5-14.tif,0,5,14
blr_5-15.tif,0,5,15
blr_5-16.tif,0,5,16
blr_5-17.tif,0,5,17
blr_5-18.tif,0,5,18
blr_5-19.tif,0,5,19
blr_5-2.tif,0,5,2
blr_5-20.tif,0,5,20
blr_5-21.tif,0,5,21
blr_5-22.tif,0,5,22
blr_5-23.tif,0,5,23
blr_5-24.tif,0,5,24
blr_5-25.tif,0,5,25
blr_5-26.tif,0,5,26
blr_5-27.tif,0,5,27
blr_5-28.tif,0,5,28
blr_5-3.tif,0,5,3
blr_5-30.tif,0,5,30
blr_5-31.tif,0,5,31
blr_5-32.tif,0,5,32
blr_5-33.tif,0,5,33
blr_5-34.tif,0,5,34
blr_5-35.tif,0,5,35
blr_5-36.tif,0,5,36
blr_5-37.tif,0,5,37
blr_5-38.tif,0,5,38
blr_5-39.tif,0,5,39
blr_5-4.tif,0,5,4
blr_5-40.tif,0,5,40
blr_5-41.tif,0,5,41
blr_5-42.tif,0,5,42
blr_5-43.tif,0,5,43
blr_5-44.tif,0,5,44
blr_5-46.tif,0,5,46
blr_5-47.tif,0,5,47
blr_5-48.tif,0,5,48
blr_5-49.tif,0,5,49
blr_5-5.tif,0,5,5
blr_5-50.tif,0,5,50
blr_5-51.tif,0,5,51
blr_5-52.tif,0,5,52
blr_5-53.tif,0,5,53
blr_5-54.tif,0,5,54
blr_5-55.tif,0,5,55
blr_5-56.tif,0,5,56
blr_5-57.tif,0,5,57
blr_5-58.tif,0,5,58
blr_5-59.tif,0,5,59
blr_5-6.tif,0,5,6
blr_5-60.tif,0,5,60
blr_5-62.tif,0,5,62
blr_5-63.tif,0,5,63
blr_5-64.tif,0,5,64
blr_5-65.tif,0,5,65
blr_5-66.tif,0,5,66
blr_5-67.tif,0,5,67
blr_5-68.tif,0,5,68
blr_5-69.tif,0,5,69
blr_5-7.tif,0,5,7
blr_5-70.tif,0,5,70
blr_5-71.tif,0,5,71
blr_5-72.tif,0,5,72
blr_5-8.tif,0,5,8
blr_5-9.tif,0,5,9
blr_50-1.tif,0,50,1
blr_50-10.tif,0,50,10
blr_50-11.tif,0,50,11
blr_50-12.tif,0,50,12
blr_6-14.tif,0,6,14
blr_6-15.tif,0,6,15
blr_6-16.tif,0,6,16
blr_6-17.tif,0,6,17
blr_6-18.tif,0,6,18
blr_6-19.tif,0,6,19
blr_6-2.tif,0,6,2
blr_6-20.tif,0,6,20
blr_6-21.tif,0,6,21
blr_6-22.tif,0,6,22
blr_6-23.tif,0,6,23
blr_6-24.tif,0,6,24
blr_6-25.tif,0,6,25
blr_6-26.tif,0,6,26
blr_6-27.tif,0,6,27
blr_6-28.tif,0,6,28
blr_6-29.tif,0,6,29
blr_6-30.tif,0,6,30
blr_6-31.tif,0,6,31
blr_6-32.tif,0,6,32
blr_6-33.tif,0,6,33
blr_6-34.tif,0,6,34
blr_6-35.tif,0,6,35
blr_6-36.tif,0,6,36
blr_6-37.tif,0,6,37
blr_6-38.tif,0,6,38
blr_6-39.tif,0,6,39
blr_6-4.tif,0,6,4
blr_6-40.tif,0,6,40
blr_6-41.tif,0,6,41
blr_6-42.tif,0,6,42
blr_6-43.tif,0,6,43
blr_6-44.tif,0,6,44
blr_6-45.tif,0,6,45
blr_6-47.tif,0,6,47
blr_6-48.tif,0,6,48
blr_6-49.tif,0,6,49
blr_6-5.tif,0,6,5
blr_6-50.tif,0,6,50
blr_6-51.tif,0,6,51
blr_6-52.tif,0,6,52
blr_6-53.tif,0,6,53
blr_6-54.tif,0,6,54
blr_6-55.tif,0,6,55
blr_6-56.tif,0,6,56
blr_6-57.tif,0,6,57
blr_6-58.tif,0,6,58
blr_6-59.tif,0,6,59
blr_6-6.tif,0,6,6
blr_6-60.tif,0,6,60
blr_6-61.tif,0,6,61
blr_6-63.tif,0,6,63
blr_6-64.tif,0,6,64
blr_6-65.tif,0,6,65
blr_6-66.tif,0,6,66
blr_6-67.tif,0,6,67
blr_6-68.tif,0,6,68
blr_6-69.tif,0,6,69
blr_6-7.tif,0,6,7
blr_6-70.tif,0,6,70
blr_6-71.tif,0,6,71
blr_6-72.tif,0,6,72
blr_6-8.tif,0,6,8
blr_6-9.tif,0,6,9
blr_60-1.tif,0,60,1
blr_60-10.tif,0,60,10
blr_60-11.tif,0,60,11
blr_60-12.tif,0,60,12
blr_60-13.tif,0,60,13
blr_7-15.tif,0,7,15
blr_7-16.tif,0,7,16
blr_7-17.tif,0,7,17
blr_7-18.tif,0,7,18
blr_7-19.tif,0,7,19
blr_7-2.tif,0,7,2
blr_7-20.tif,0,7,20
blr_7-21.tif,0,7,21
blr_7-22.tif,0,7,22
blr_7-23.tif,0,7,23
blr_7-24.tif,0,7,24
blr_7-25.tif,0,7,25
blr_7-26.tif,0,7,26
blr_7-27.tif,0,7,27
blr_7-28.tif,0,7,28
blr_7-29.tif,0,7,29
blr_7-3.tif,0,7,3
blr_7-31.tif,0,7,31
blr_7-32.tif,0,7,32
blr_7-33.tif,0,7,33
blr_7-34.tif,0,7,34
blr_7-35.tif,0,7,35
blr_7-36.tif,0,7,36
blr_7-37.tif,0,7,37
blr_7-38.tif,0,7,38
blr_7-39.tif,0,7,39
blr_7-4.tif,0,7,4
blr_7-40.tif,0,7,40
blr_7-41.tif,0,7,41
blr_7-42.tif,0,7,42
blr_7-43.tif,0,7,43
blr_7-44.tif,0,7,44
blr_7-45.tif,0,7,45
blr_7-46.tif,0,7,46
blr_7-48.tif,0,7,48
blr_7-49.tif,0,7,49
blr_7-5.tif,0,7,5
blr_7-50.tif,0,7,50
blr_7-51.tif,0,7,51
blr_7-52.tif,0,7,52
blr_7-53.tif,0,7,53
blr_7-54.tif,0,7,54
blr_7-55.tif,0,7,55
blr_7-56.tif,0,7,56
blr_7-57.tif,0,7,57
blr_7-58.tif,0,7,58
blr_7-59.tif,0,7,59
blr_7-6.tif,0,7,6
blr_7-60.tif,0,7,60
blr_7-61.tif,0,7,61
blr_7-62.tif,100,7,62
blr_7-64.tif,0,7,64
blr_7-65.tif,0,7,65
blr_7-66.tif,0,7,66
blr_7-67.tif,0,7,67
blr_7-68.tif,0,7,68
blr_7-69.tif,0,7,69
blr_7-7.tif,0,7,7
blr_7-70.tif,0,7,70
blr_7-71.tif,0,7,71
blr_7-72.tif,0,7,72
blr_7-8.tif,0,7,8
blr_7-9.tif,0,7,9
blr_70-1.tif,0,70,1
blr_70-10.tif,0,70,10
blr_70-11.tif,0,70,11
blr_70-12.tif,0,70,12
blr_70-13.tif,0,70,13
blr_70-14.tif,0,70,14
blr_8-16.tif,0,8,16
blr_8-17.tif,0,8,17
blr_8-18.tif,0,8,18
blr_8-19.tif,0,8,19
blr_8-2.tif,0,8,2
blr_8-20.tif,0,8,20
blr_8-21.tif,0,8,21
blr_8-22.tif,0,8,22
blr_8-23.tif,0,8,23
blr_8-24.tif,0,8,24
blr_8-25.tif,0,8,25
blr_8-26.tif,0,8,26
blr_8-27.tif,0,8,27
blr_8-28.tif,0,8,28
blr_8-29.tif,0,8,29
blr_8-3.tif,0,8,3
blr_8-30.tif,0,8,30
blr_8-32.tif,0,8,32
blr_8-33.tif,0,8,33
blr_8-34.tif,0,8,34
blr_8-35.tif,0,8,35
blr_8-36.tif,0,8,36
blr_8-37.tif,0,8,37
blr_8-38.tif,0,8,38
blr_8-39.tif,0,8,39
blr_8-4.tif,0,8,4
blr_8-40.tif,0,8,40
blr_8-41.tif,0,8,41
blr_8-42.tif,0,8,42
blr_8-43.tif,0,8,43
blr_8-44.tif,0,8,44
blr_8-45.tif,0,8,45
blr_8-46.tif,0,8,46
blr_8-47.tif,0,8,47
blr_8-49.tif,0,8,49
blr_8-5.tif,0,8,5
blr_8-50.tif,0,8,50
blr_8-51.tif,0,8,51
blr_8-52.tif,0,8,52
blr_8-53.tif,0,8,53
blr_8-54.tif,0,8,54
blr_8-55.tif,0,8,55
blr_8-56.tif,0,8,56
blr_8-57.tif,0,8,57
blr_8-58.tif,0,8,58
blr_8-59.tif,0,8,59
blr_8-6.tif,0,8,6
blr_8-60.tif,0,8,60
blr_8-61.tif,0,8,61
blr_8-62.tif,0,8,62
blr_8-63.tif,0,8,63
blr_8-65.tif,0,8,65
blr_8-66.tif,0,8,66
blr_8-67.tif,0,8,67
blr_8-68.tif,0,8,68
blr_8-69.tif,0,8,69
blr_8-7.tif,0,8,7
blr_8-70.tif,0,8,70
blr_8-71.tif,0,8,71
blr_8-72.tif,0,8,72
blr_8-8.tif,0,8,8
blr_8-9.tif,0,8,9
blr_80-1.tif,0,80,1
blr_80-10.tif,0,80,10
blr_80-11.tif,0,80,11
blr_80-12.tif,0,80,12
blr_80-13.tif,0,80,13
blr_80-14.tif,0,80,14
blr_80-15.tif,0,80,15
blr_9-17.tif,0,9,17
blr_9-18.tif,0,9,18
blr_9-19.tif,0,9,19
blr_9-2.tif,0,9,2
blr_9-20.tif,0,9,20
blr_9-21.tif,0,9,21
blr_9-22.tif,0,9,22
blr_9-23.tif,0,9,23
blr_9-24.tif,0,9,24
blr_9-25.tif,0,9,25
blr_9-26.tif,0,9,26
blr_9-27.tif,0,9,27
blr_9-28.tif,0,9,28
blr_9-29.tif,0,9,29
blr_9-3.tif,0,9,3
blr_9-30.tif,0,9,30
blr_9-31.tif,0,9,31
blr_9-33.tif,0,9,33
blr_9-34.tif,0,9,34
blr_9-35.tif,0,9,35
blr_9-36.tif,0,9,36
blr_9-37.tif,0,9,37
blr_9-38.tif,0,9,38
blr_9-39.tif,0,9,39
blr_9-4.tif,0,9,4
blr_9-40.tif,0,9,40
blr_9-41.tif,0,9,41
blr_9-42.tif,0,9,42
blr_9-43.tif,0,9,43
blr_9-44.tif,0,9,44
blr_9-45.tif,0,9,45
blr_9-46.tif,0,9,46
blr_9-47.tif,0,9,47
blr_9-48.tif,0,9,48
blr_9-5.tif,0,9,5
blr_9-50.tif,0,9,50
blr_9-51.tif,0,9,51
blr_9-52.tif,0,9,52
blr_9-53.tif,0,9,53
blr_9-54.tif,0,9,54
blr_9-55.tif,0,9,55
blr_9-56.tif,0,9,56
blr_9-57.tif,0,9,57
blr_9-58.tif,0,9,58
blr_9-59.tif,0,9,59
blr_9-6.tif,0,9,6
blr_9-60.tif,0,9,60
blr_9-61.tif,0,9,61
blr_9-62.tif,0,9,62
blr_9-63.tif,0,9,63
blr_9-64.tif,0,9,64
blr_5-45.tif,0,5,45
blr_5-61.tif,0,5,61
blr_50-13.tif,0,50,13
blr_50-3.tif,0,50,3
blr_50-46.tif,0,50,46
blr_50-62.tif,0,50,62
blr_51-13.tif,0,51,13
blr_51-3.tif,0,51,3
blr_51-46.tif,0,51,46
blr_51-62.tif,0,51,62
blr_52-13.tif,0,52,13
blr_52-3.tif,0,52,3
blr_52-46.tif,0,52,46
blr_52-62.tif,0,52,62
blr_53-13.tif,0,53,13
blr_53-3.tif,0,53,3
blr_10-10.tif,0,10,10
blr_10-11.tif,0,10,11
blr_10-12.tif,0,10,12
blr_10-13.tif,0,10,13
blr_10-14.tif,0,10,14
blr_10-15.tif,0,10,15
blr_10-16.tif,0,10,16
blr_10-17.tif,0,10,17
blr_10-18.tif,0,10,18
blr_10-19.tif,0,10,19
blr_10-2.tif,0,10,2
blr_10-20.tif,0,10,20
blr_10-21.tif,0,10,21
blr_10-22.tif,0,10,22
