D:/Work/CCBD/images2\bangalore_1-1.jpg,2.5
D:/Work/CCBD/images2\bangalore_1-10.jpg,13.93
D:/Work/CCBD/images2\bangalore_1-100.jpg,14.8
D:/Work/CCBD/images2\bangalore_1-101.jpg,16.75
D:/Work/CCBD/images2\bangalore_1-102.jpg,23.04
D:/Work/CCBD/images2\bangalore_1-103.jpg,32.84
D:/Work/CCBD/images2\bangalore_1-104.jpg,47.59
D:/Work/CCBD/images2\bangalore_1-105.jpg,31.74
D:/Work/CCBD/images2\bangalore_1-106.jpg,61.52
D:/Work/CCBD/images2\bangalore_1-107.jpg,39.12
D:/Work/CCBD/images2\bangalore_1-108.jpg,3.09
D:/Work/CCBD/images2\bangalore_1-109.jpg,19.92
D:/Work/CCBD/images2\bangalore_1-11.jpg,6.04
D:/Work/CCBD/images2\bangalore_1-110.jpg,33.75
D:/Work/CCBD/images2\bangalore_1-111.jpg,16.05
D:/Work/CCBD/images2\bangalore_1-112.jpg,22.4
D:/Work/CCBD/images2\bangalore_1-113.jpg,12.37
D:/Work/CCBD/images2\bangalore_1-12.jpg,9.07
D:/Work/CCBD/images2\bangalore_1-13.jpg,15.33
D:/Work/CCBD/images2\bangalore_1-14.jpg,7.4
D:/Work/CCBD/images2\bangalore_1-15.jpg,2.04
D:/Work/CCBD/images2\bangalore_1-16.jpg,5.24
D:/Work/CCBD/images2\bangalore_1-17.jpg,3.1
D:/Work/CCBD/images2\bangalore_1-18.jpg,0.09
D:/Work/CCBD/images2\bangalore_1-19.jpg,8.36
D:/Work/CCBD/images2\bangalore_1-2.jpg,3.72
D:/Work/CCBD/images2\bangalore_1-20.jpg,3.09
D:/Work/CCBD/images2\bangalore_1-21.jpg,10.94
D:/Work/CCBD/images2\bangalore_1-22.jpg,3.37
D:/Work/CCBD/images2\bangalore_1-23.jpg,11.56
D:/Work/CCBD/images2\bangalore_1-24.jpg,1.26
D:/Work/CCBD/images2\bangalore_1-25.jpg,8.54
D:/Work/CCBD/images2\bangalore_1-26.jpg,4.56
D:/Work/CCBD/images2\bangalore_1-27.jpg,0.76
D:/Work/CCBD/images2\bangalore_1-28.jpg,19.78
D:/Work/CCBD/images2\bangalore_1-29.jpg,9.45
D:/Work/CCBD/images2\bangalore_1-3.jpg,1.81
D:/Work/CCBD/images2\bangalore_1-30.jpg,9.61
D:/Work/CCBD/images2\bangalore_1-31.jpg,9.94
D:/Work/CCBD/images2\bangalore_1-32.jpg,8.78
D:/Work/CCBD/images2\bangalore_1-33.jpg,5.19
D:/Work/CCBD/images2\bangalore_1-34.jpg,1.75
D:/Work/CCBD/images2\bangalore_1-35.jpg,6.12
D:/Work/CCBD/images2\bangalore_1-36.jpg,4.16
D:/Work/CCBD/images2\bangalore_1-37.jpg,1.01
D:/Work/CCBD/images2\bangalore_1-38.jpg,6.63
D:/Work/CCBD/images2\bangalore_1-39.jpg,6.42
D:/Work/CCBD/images2\bangalore_1-4.jpg,18.62
D:/Work/CCBD/images2\bangalore_1-40.jpg,0.51
D:/Work/CCBD/images2\bangalore_1-41.jpg,1.92
D:/Work/CCBD/images2\bangalore_1-42.jpg,9.32
D:/Work/CCBD/images2\bangalore_1-43.jpg,9.39
D:/Work/CCBD/images2\bangalore_1-44.jpg,1.32
D:/Work/CCBD/images2\bangalore_1-45.jpg,3.57
D:/Work/CCBD/images2\bangalore_1-46.jpg,1.53
D:/Work/CCBD/images2\bangalore_1-47.jpg,1.84
D:/Work/CCBD/images2\bangalore_1-48.jpg,4.03
D:/Work/CCBD/images2\bangalore_1-49.jpg,11.81
D:/Work/CCBD/images2\bangalore_1-5.jpg,12.01
D:/Work/CCBD/images2\bangalore_1-50.jpg,9.79
D:/Work/CCBD/images2\bangalore_1-51.jpg,29.22
D:/Work/CCBD/images2\bangalore_1-52.jpg,27.82
D:/Work/CCBD/images2\bangalore_1-53.jpg,14.07
D:/Work/CCBD/images2\bangalore_1-54.jpg,29.28
D:/Work/CCBD/images2\bangalore_1-55.jpg,34.83
D:/Work/CCBD/images2\bangalore_1-56.jpg,18.34
D:/Work/CCBD/images2\bangalore_1-57.jpg,25.07
D:/Work/CCBD/images2\bangalore_1-58.jpg,12.39
D:/Work/CCBD/images2\bangalore_1-59.jpg,3.88
D:/Work/CCBD/images2\bangalore_1-6.jpg,4.65
D:/Work/CCBD/images2\bangalore_1-60.jpg,8.33
D:/Work/CCBD/images2\bangalore_1-61.jpg,7.61
D:/Work/CCBD/images2\bangalore_1-62.jpg,14.45
D:/Work/CCBD/images2\bangalore_1-63.jpg,11.15
D:/Work/CCBD/images2\bangalore_1-64.jpg,1.68
D:/Work/CCBD/images2\bangalore_1-65.jpg,1.21
D:/Work/CCBD/images2\bangalore_1-66.jpg,1.89
D:/Work/CCBD/images2\bangalore_1-67.jpg,1.09
D:/Work/CCBD/images2\bangalore_1-68.jpg,5.14
D:/Work/CCBD/images2\bangalore_1-69.jpg,13.32
D:/Work/CCBD/images2\bangalore_1-7.jpg,0.55
D:/Work/CCBD/images2\bangalore_1-70.jpg,19.49
D:/Work/CCBD/images2\bangalore_1-71.jpg,33.85
D:/Work/CCBD/images2\bangalore_1-72.jpg,4.63
D:/Work/CCBD/images2\bangalore_1-73.jpg,6.01
D:/Work/CCBD/images2\bangalore_1-74.jpg,12.0
D:/Work/CCBD/images2\bangalore_1-75.jpg,7.07
D:/Work/CCBD/images2\bangalore_1-76.jpg,2.19
D:/Work/CCBD/images2\bangalore_1-77.jpg,6.12
D:/Work/CCBD/images2\bangalore_1-78.jpg,12.33
D:/Work/CCBD/images2\bangalore_1-79.jpg,18.87
D:/Work/CCBD/images2\bangalore_1-8.jpg,7.67
D:/Work/CCBD/images2\bangalore_1-80.jpg,22.33
D:/Work/CCBD/images2\bangalore_1-81.jpg,6.03
D:/Work/CCBD/images2\bangalore_1-82.jpg,4.65
D:/Work/CCBD/images2\bangalore_1-83.jpg,6.45
D:/Work/CCBD/images2\bangalore_1-84.jpg,16.47
D:/Work/CCBD/images2\bangalore_1-85.jpg,5.96
D:/Work/CCBD/images2\bangalore_1-86.jpg,21.11
D:/Work/CCBD/images2\bangalore_1-87.jpg,1.67
D:/Work/CCBD/images2\bangalore_1-88.jpg,3.25
D:/Work/CCBD/images2\bangalore_1-89.jpg,9.71
D:/Work/CCBD/images2\bangalore_1-9.jpg,8.24
D:/Work/CCBD/images2\bangalore_1-90.jpg,14.54
D:/Work/CCBD/images2\bangalore_1-91.jpg,17.51
D:/Work/CCBD/images2\bangalore_1-92.jpg,6.37
D:/Work/CCBD/images2\bangalore_1-93.jpg,37.64
D:/Work/CCBD/images2\bangalore_1-94.jpg,38.56
D:/Work/CCBD/images2\bangalore_1-95.jpg,36.4
D:/Work/CCBD/images2\bangalore_1-96.jpg,31.05
D:/Work/CCBD/images2\bangalore_1-97.jpg,8.69
D:/Work/CCBD/images2\bangalore_1-98.jpg,27.77
D:/Work/CCBD/images2\bangalore_1-99.jpg,28.95
D:/Work/CCBD/images2\bangalore_10-1.jpg,5.27
D:/Work/CCBD/images2\bangalore_10-10.jpg,1.12
D:/Work/CCBD/images2\bangalore_10-100.jpg,0.95
D:/Work/CCBD/images2\bangalore_10-101.jpg,1.85
D:/Work/CCBD/images2\bangalore_10-102.jpg,8.75
D:/Work/CCBD/images2\bangalore_10-103.jpg,9.61
D:/Work/CCBD/images2\bangalore_10-104.jpg,6.15
D:/Work/CCBD/images2\bangalore_10-105.jpg,6.23
D:/Work/CCBD/images2\bangalore_10-106.jpg,9.15
D:/Work/CCBD/images2\bangalore_10-107.jpg,5.79
D:/Work/CCBD/images2\bangalore_10-108.jpg,16.55
D:/Work/CCBD/images2\bangalore_10-109.jpg,9.59
D:/Work/CCBD/images2\bangalore_10-11.jpg,14.51
D:/Work/CCBD/images2\bangalore_10-110.jpg,1.85
D:/Work/CCBD/images2\bangalore_10-111.jpg,0.36
D:/Work/CCBD/images2\bangalore_10-112.jpg,2.56
D:/Work/CCBD/images2\bangalore_10-113.jpg,10.85
D:/Work/CCBD/images2\bangalore_10-12.jpg,11.27
D:/Work/CCBD/images2\bangalore_10-13.jpg,17.57
D:/Work/CCBD/images2\bangalore_10-14.jpg,18.34
D:/Work/CCBD/images2\bangalore_10-15.jpg,56.77
D:/Work/CCBD/images2\bangalore_10-16.jpg,17.05
D:/Work/CCBD/images2\bangalore_10-17.jpg,3.35
D:/Work/CCBD/images2\bangalore_10-18.jpg,2.35
D:/Work/CCBD/images2\bangalore_10-19.jpg,2.99
D:/Work/CCBD/images2\bangalore_10-2.jpg,2.47
D:/Work/CCBD/images2\bangalore_10-20.jpg,11.54
D:/Work/CCBD/images2\bangalore_10-21.jpg,12.9
D:/Work/CCBD/images2\bangalore_10-22.jpg,5.65
D:/Work/CCBD/images2\bangalore_10-23.jpg,18.25
D:/Work/CCBD/images2\bangalore_10-24.jpg,14.52
D:/Work/CCBD/images2\bangalore_10-25.jpg,8.28
D:/Work/CCBD/images2\bangalore_10-26.jpg,15.66
D:/Work/CCBD/images2\bangalore_10-27.jpg,39.39
D:/Work/CCBD/images2\bangalore_10-28.jpg,34.71
D:/Work/CCBD/images2\bangalore_10-29.jpg,22.37
D:/Work/CCBD/images2\bangalore_10-3.jpg,2.01
D:/Work/CCBD/images2\bangalore_10-30.jpg,17.34
D:/Work/CCBD/images2\bangalore_10-31.jpg,34.58
D:/Work/CCBD/images2\bangalore_10-32.jpg,18.28
D:/Work/CCBD/images2\bangalore_10-33.jpg,40.44
D:/Work/CCBD/images2\bangalore_10-34.jpg,56.47
D:/Work/CCBD/images2\bangalore_10-35.jpg,24.55
D:/Work/CCBD/images2\bangalore_10-36.jpg,17.07
D:/Work/CCBD/images2\bangalore_10-37.jpg,22.31
D:/Work/CCBD/images2\bangalore_10-38.jpg,41.37
D:/Work/CCBD/images2\bangalore_10-39.jpg,34.2
D:/Work/CCBD/images2\bangalore_10-4.jpg,0.44
D:/Work/CCBD/images2\bangalore_10-40.jpg,29.17
D:/Work/CCBD/images2\bangalore_10-41.jpg,10.36
D:/Work/CCBD/images2\bangalore_10-42.jpg,19.08
D:/Work/CCBD/images2\bangalore_10-43.jpg,25.01
D:/Work/CCBD/images2\bangalore_10-44.jpg,17.8
D:/Work/CCBD/images2\bangalore_10-45.jpg,20.58
D:/Work/CCBD/images2\bangalore_10-46.jpg,18.97
D:/Work/CCBD/images2\bangalore_10-47.jpg,21.39
D:/Work/CCBD/images2\bangalore_10-48.jpg,21.04
D:/Work/CCBD/images2\bangalore_10-49.jpg,5.55
D:/Work/CCBD/images2\bangalore_10-5.jpg,3.35
D:/Work/CCBD/images2\bangalore_10-50.jpg,13.07
D:/Work/CCBD/images2\bangalore_10-51.jpg,3.35
D:/Work/CCBD/images2\bangalore_10-52.jpg,8.78
D:/Work/CCBD/images2\bangalore_10-53.jpg,4.61
D:/Work/CCBD/images2\bangalore_10-54.jpg,10.24
D:/Work/CCBD/images2\bangalore_10-55.jpg,13.38
D:/Work/CCBD/images2\bangalore_10-56.jpg,1.26
D:/Work/CCBD/images2\bangalore_10-57.jpg,1.66
D:/Work/CCBD/images2\bangalore_10-58.jpg,4.58
D:/Work/CCBD/images2\bangalore_10-59.jpg,7.15
